1/1/1 22 December 1967, Nicholas Parsons with Derek Nimmo, Clement Freud, Wilma Ewart and Beryl Reid, excuses for being late.
619/45/10 20 September 2004, Nicholas Parsons with Paul Merton, Clement Freud, Julian Clary and Liza Tarbuck, loose talk.
620/46/1 24 January 2005, Nicholas Parsons with Paul Merton, Clement Freud, Jenny Eclair and Dara O'Briain, body building.
621/46/2 31 January 2005, Nicholas Parsons with Paul Merton, Graham Norton, Sue Perkins and Ross Noble, what I would say to a mermaid.
622/46/3 7 February 2005, Nicholas Parsons with Paul Merton, Clement Freud, Graham Norton and Linda Smith, pulling someone's leg.
623/46/4 14 February 2005, Nicholas Parsons with Paul Merton, Clement Freud, Jenny Eclair and Dara O'Briain, what I was like as a baby.
624/46/5 21 February 2005, Nicholas Parsons with Paul Merton, Graham Norton, Sue Perkins and Ross Noble, the work of William Shakespeare.
625/46/6 28 February 2005, Nicholas Parsons with Clement Freud, Tony Hawks, Julian Clary and Pam Ayres, the person I look up to most.
626/46/7 7 March 2005, Nicholas Parsons with Tony Hawks, Tim Rice, Linda Smith and Chris Neill, what I have in common with the chairman.
627/46/8 14 March 2005, Nicholas Parsons with Paul Merton, Clement Freud, Graham Norton and Linda Smith, answering back.
628/46/9 21 March 2005, Nicholas Parsons with Tony Hawks, Tim Rice, Linda Smith and Chris Neill, how to attract someone's attention.
629/46/10 28 March 2005, Nicholas Parsons with Clement Freud, Tony Hawks, Julian Clary and Pam Ayres, double Dutch.
630/46/11 4 April 2005, Nicholas Parsons with Paul Merton, Clement Freud, Kit Hesketh-Harvey and Linda Smith, how to attract someone's attention.
631/47/1 11 July 2005, Nicholas Parsons with Paul Merton, Clement Freud, Chris Neill and Rob Brydon, the girl next door.
632/47/2 18 July 2005, Nicholas Parsons with Paul Merton, Clement Freud, Kit Hesketh-Harvey and Linda Smith, my favourite book.
633/47/3 25 July 2005, Nicholas Parsons with Clement Freud, Tony Hawks, Sheila Hancock and Victor Spinetti, my pride and joy.
634/47/4 1 August 2005, Nicholas Parsons with Paul Merton, Clement Freud, Gyles Brandreth and Jenny Eclair, making waves.
635/47/5 8 August 2005, Nicholas Parsons with Paul Merton, Clement Freud, Chris Neill and Rob Brydon, skinny dipping.
636/47/6 15 August 2005, Nicholas Parsons with Clement Freud, Tony Hawks, Sheila Hancock and Victor Spinetti, my favourite Welsh celebrity.
637/47/7 22 August 2005, Nicholas Parsons with Paul Merton, Clement Freud, Gyles Brandreth and Jenny Eclair, bluffing.
638/47/8 29 August 2005, Nicholas Parsons with Paul Merton, Clement Freud, Bill Bailey and Owen O'Neill, a dream come true.
639/47/9 5 September 2005, Nicholas Parsons with Paul Merton, Clement Freud, John Sergeant and Rhod Gilbert, how to present a weather forecast.
640/48/1 2 January 2006, Nicholas Parsons with Paul Merton, Graham Norton, Gyles Brandreth and Sue Perkins, losing your rag.
641/48/2 9 January 2006, Nicholas Parsons with Paul Merton, Clement Freud, Tim Rice and Stephen Fry, my most embarrassing moment.
642/48/3 16 January 2006, Nicholas Parsons with Clement Freud, Tony Hawks, Julian Clary and Kate Robbins, keeping mum.
643/48/4 23 January 2006, Nicholas Parsons with Paul Merton, Clement Freud, Tim Rice and Stephen Fry, stage presence.
644/48/5 30 January 2006, Nicholas Parsons with Paul Merton, Clement Freud, Graham Norton and Jenny Eclair, bling.
645/48/6 6 February 2006, Nicholas Parsons with Paul Merton, Graham Norton, Gyles Brandreth and Sue Perkins, how I prepare for bed.
646/48/7 13 February 2006, Nicholas Parsons with Clement Freud, Tony Hawks, Julian Clary and Kate Robbins, my headmaster.
647/48/8 20 February 2006, Nicholas Parsons with Paul Merton, Clement Freud, Graham Norton and Jenny Eclair, the wow factor.
648/48/9 27 February 2006, Nicholas Parsons with Paul Merton, Clement Freud, Tony Hawks and Gyles Brandreth, grockles.
649/48/10 6 March 2006, Nicholas Parsons with Paul Merton, Kit Hesketh-Harvey, Liza Tarbuck and Chris Neill, a rolling stone.
650/48/11 13 March 2006, Nicholas Parsons with Paul Merton, Clement Freud, Tony Hawks and Gyles Brandreth, New York.
651/49/1 3 July 2006, Nicholas Parsons with Paul Merton, Clement Freud, Julian Clary and Pauline McLynn, Greenwich mean time.
652/49/2 10 July 2006, Nicholas Parsons with Paul Merton, Kit Hesketh-Harvey, Liza Tarbuck and Chris Neill, the most eccentric person I know of.
653/49/3 17 July 2006, Nicholas Parsons with Clement Freud, Graham Norton, Marcus Brigstocke and Pam Ayres, how to spot an exhibitionist.
654/49/4 24 July 2006, Nicholas Parsons with Paul Merton, Tony Hawks, Sue Perkins and Charles Collingwood, how to get a good night's sleep.
655/49/5 31 July 2006, Nicholas Parsons with Paul Merton, Clement Freud, Julian Clary and Pauline McLynn, the dome.
656/49/6 7 August 2006, Nicholas Parsons with Paul Merton, Clement Freud, Tim Rice and Ross Noble, plain sailing.
657/49/7 14 August 2006, Nicholas Parsons with Paul Merton, Tony Hawks, Sue Perkins and Charles Collingwood, the chairman's best kept secret.
658/49/8 21 August 2006, Nicholas Parsons with Paul Merton, Clement Freud, Ross Noble and Janey Godley, kangaroos.
659/49/9 28 August 2006, Nicholas Parsons with Paul Merton, Clement Freud, Pauline McLynn and Owen O'Neill, the best time to be in Edinburgh.
660/49/10 4 September 2006, Nicholas Parsons with Clement Freud, Graham Norton, Marcus Brigstocke and Pam Ayres, what I've got on my Ipod.
661/49/11 11 September 2006, Nicholas Parsons with Paul Merton, Clement Freud, Tim Rice and Ross Noble, Thomas Hardy.
662/50/1 1 January 2007, Nicholas Parsons with Paul Merton, Clement Freud, Chris Neill and Greg Proops, Alfred the Great.
663/50/2 8 January 2007, Nicholas Parsons with Paul Merton, Clement Freud, Kit Hesketh-Harvey and Maria McErlane, taking the waters.
664/50/3 15 January 2007, Nicholas Parsons with Clement Freud, Gyles Brandreth, Marcus Brigstocke and Pauline McLynn, mermaids.
665/50/4 22 January 2007, Nicholas Parsons with Paul Merton, Tim Rice, Chris Neill and Alun Cochrane, round robins.
666/50/5 29 January 2007, Nicholas Parsons with Paul Merton, Tony Hawks, Sue Perkins and Neil Mullarkey, all things bright and beautiful.
667/50/6 5 February 2007, Nicholas Parsons with Paul Merton, Clement Freud, Graham Norton and Chris Addison, the streets of London.
668/50/7 12 February 2007, Nicholas Parsons with Paul Merton, Clement Freud, Chris Neill and Greg Proops, the end of the world.
669/50/8 19 February 2007, Nicholas Parsons with Paul Merton, Clement Freud, Kit Hesketh-Harvey and Maria McErlane, pirates.
670/50/9 26 February 2007, Nicholas Parsons with Clement Freud, Gyles Brandreth, Marcus Brigstocke and Pauline McLynn, white elephants.
671/50/10 5 March 2007, Nicholas Parsons with Paul Merton, Tony Hawks, Sue Perkins and Neil Mullarkey, seaside postcards.
672/51/1 16 July 2007, Nicholas Parsons with Paul Merton, Pam Ayres, Maureen Lipman and Dara O'Briain, every trick in the book.
673/51/2 23 July 2007, Nicholas Parsons with Paul Merton, Clement Freud, Graham Norton and Chris Addison, how to be a thespian.
674/51/3 30 July 2007, Nicholas Parsons with Paul Merton, Gyles Brandreth, Julian Clary and Jenny Eclair, 1066.
675/51/4 6 August 2007, Nicholas Parsons with Paul Merton, Clement Freud, Tony Hawks and Dave Gorman, radio times.
676/51/5 13 August 2007, Nicholas Parsons with Paul Merton, Tim Rice, Chris Neill and Alun Cochrane, the Cheltenham Gold Cup.
677/51/6 20 August 2007, Nicholas Parsons with Paul Merton, Clement Freud, Fred MacAulay and Jo Caulfield, the Scotsman.
678/51/7 27 August 2007, Nicholas Parsons with Paul Merton, Clement Freud, Marcus Brigstocke and Janey Godley, five star review.
679/51/8 3 September 2007, Nicholas Parsons with Paul Merton, Marcus Brigstocke, Pam Ayres and Maureen Lipman, Timbuktu.
680/51/9 10 September 2007, Nicholas Parsons with Paul Merton, Clement Freud, Tony Hawks and Dave Gorman, happy hour.
681/51/10 17 September 2007, Nicholas Parsons with Paul Merton, Gyles Brandreth, Julian Clary and Jenny Eclair, why television will never catch on.
682/51/11 24 September 2007, Nicholas Parsons with Clement Freud, Graham Norton, Gyles Brandreth and Phill Jupitus, the bard.
683/52/1 31 December 2007, Nicholas Parsons with Paul Merton, Kenneth Williams, Clement Freud and Graham Norton, plus Derek Nimmo, Peter Jones, Tony Hawks, Sheila Hancock, Gyles Brandreth, Julian Clary, Linda Smith, Jenny Eclair, Ross Noble, Stephen Fry, Chris Neill, Alfred Marks, Barry Took, Tommy Trinder, Kenny Everett and Bob Monkhouse, 40th anniversary special.
684/52/2 7 January 2008, Nicholas Parsons with Paul Merton, Clement Freud, Chris Neill and Josie Lawrence, life begins at 40.
685/52/3 14 January 2008, Nicholas Parsons with Tony Hawks, Gyles Brandreth, Kit Hesketh-Harvey and Janey Godley, ruby anniversary.
686/52/4 21 January 2008, Nicholas Parsons with Clement Freud, Graham Norton, Gyles Brandreth and Phill Jupitus, the Scottish play.
687/52/5 28 January 2008, Nicholas Parsons with Paul Merton, Clement Freud, Jenny Eclair and Marcus Brigstocke, the Druids.
688/52/6 4 February 2008, Nicholas Parsons with Paul Merton, Clement Freud, Liza Tarbuck and Jack Dee, killing time.
689/52/7 11 February 2008, Nicholas Parsons with Paul Merton, Tony Hawks, Graham Norton and Sue Perkins, brass monkeys.
690/52/8 18 February 2008, Nicholas Parsons with Paul Merton, Clement Freud, Jenny Eclair and Marcus Brigstocke, family values.
691/52/9 25 February 2008, Nicholas Parsons with Paul Merton, Clement Freud, Chris Neill and Josie Lawrence, red Leicester.
692/52/10 3 March 2008, Nicholas Parsons with Tony Hawks, Gyles Brandreth, Kit Hesketh-Harvey and Janey Godley, Norfolk broads.
693/52/11 10 March 2008, Nicholas Parsons with Paul Merton, Clement Freud, Liza Tarbuck and Jack Dee, the 2012 Olympics.
694/52/12 17 March 2008, Nicholas Parsons with Paul Merton, Tony Hawks, Graham Norton and Sue Perkins, discovering America.
695/53/1 28 July 2008, Nicholas Parsons with Paul Merton, Clement Freud, Ross Noble and Phill Jupitus, longitude.
696/53/2 4 August 2008, Nicholas Parsons with Clement Freud, Gyles Brandreth, Marcus Brigstocke and Dave Gorman, hay fever.
697/53/3 11 August 2008, Nicholas Parsons with Paul Merton, Tony Hawks, Shappi Khorsandi and Ian McMillan, Old Trafford.
698/53/4 18 August 2008, Nicholas Parsons with Paul Merton, Clement Freud, Rhod Gilbert and Mike McShane, how to get an audience.
699/53/5 25 August 2008, Nicholas Parsons with Paul Merton, Clement Freud, Fred MacAulay and Lynn Ferguson, at the Edinburgh Festival.
700/53/6 1 September 2008, Nicholas Parsons with Paul Merton, Sue Perkins, Julian Clary and Chris Addison, brass monkeys.
701/53/7 8 September 2008, Nicholas Parsons with Paul Merton, Clement Freud, Ross Noble and Robin Ince, second-hand shops.
702/53/8 15 September 2008, Nicholas Parsons with Clement Freud, Gyles Brandreth, Marcus Brigstocke and Owen O'Neill, a month of Sundays.
703/53/9 22 September 2008, Nicholas Parsons with Paul Merton, Tony Hawks, Shappi Khorsandi and Ian McMillan, the War of the Roses.
704/53/10 29 September 2008, Nicholas Parsons with Paul Merton, Sue Perkins, Julian Clary and Chris Addison, glitz and glamour.
705/54/1 29 December 2008, Nicholas Parsons with Paul Merton, Graham Norton, Charles Collingwood and Shappi Khorsandi, my New Year's resolution.
706/54/2 5 January 2009, Nicholas Parsons with Paul Merton, Clement Freud, Julian Clary and Helen Lederer, dressed to kill.
707/54/3 12 January 2009, Nicholas Parsons with Paul Merton, Graham Norton, Charles Collingwood and Shappi Khorsandi, losing your marbles.
708/54/4 19 January 2009, Nicholas Parsons with Paul Merton, Clement Freud, Julian Clary and Josie Long, how to make a cup of tea.
709/54/5 26 January 2009, Nicholas Parsons with Paul Merton, Gyles Brandreth, Sue Perkins and Liza Tarbuck, if I could see into the future.
710/54/6 2 February 2009, Nicholas Parsons with Paul Merton, Clement Freud, Josie Lawrence and Jack Dee, my secret vice.
711/54/7 9 February 2009, Nicholas Parsons with Paul Merton, Gyles Brandreth, Sue Perkins and Liza Tarbuck, my favourite Shakespeare play.
712/54/8 16 February 2009, Nicholas Parsons with Paul Merton, Tony Hawks, Chris Neill and Justin Moorhouse, five things to do with a potato.
713/54/9 23 February 2009, Nicholas Parsons with Paul Merton, Clement Freud, Sheila Hancock and David Mitchell, Cinderella.
714/54/10 2 March 2009, Nicholas Parsons with Paul Merton, Clement Freud, Josie Lawrence and Jack Dee, what gets my back up.
715/54/11 9 March 2009, Nicholas Parsons with Paul Merton, Clement Freud, Sheila Hancock and David Mitchell, agony aunts.
716/54/12 16 March 2009, Nicholas Parsons with Paul Merton, Tony Hawks, Chris Neill and Justin Moorhouse, sneezing.
717/55/1 27 July 2009, Nicholas Parsons with Tony Hawks, Sue Perkins, Tim Rice and Pam Ayres, twittering.
718/55/2 3 August 2009, Nicholas Parsons with Paul Merton, Gyles Brandreth, Kit Hesketh-Harvey and Shappi Khorsandi, my hidden talent.
719/55/3 10 August 2009, Nicholas Parsons with Paul Merton, Jenny Eclair, Stephen Fry and Charles Collingwood, my idea of bliss.
720/55/4 17 August 2009, Nicholas Parsons with Paul Merton, Gyles Brandreth, Kit Hesketh-Harvey and Shappi Khorsandi, what others find irritating about me.
721/55/5 24 August 2009, Nicholas Parsons with Paul Merton, Sue Perkins, Mike McShane and Paul Sinha, what I wear in bed.
722/55/6 31 August 2009, Nicholas Parsons with Paul Merton, Sue Perkins, Janey Godley and Richard Herring, what I love about Edinburgh.
723/55/7 7 September 2009, Nicholas Parsons with Paul Merton, Jenny Eclair, Stephen Fry and Charles Collingwood, a perk of the job.
724/55/8 14 September 2009, Nicholas Parsons with Paul Merton, Graham Norton, Gyles Brandreth and Suki Webster, the long arm of the law.
725/55/9 21 September 2009, Nicholas Parsons with Tony Hawks, Sue Perkins, Tim Rice and Pam Ayres, chick lit.
726/55/10 28 September 2009, Nicholas Parsons with Paul Merton, Graham Norton, Gyles Brandreth and Pauline McLynn, how to outdo the other panellists.
727/56/1 4 January 2010, Nicholas Parsons with Paul Merton, Gyles Brandreth, Julian Clary and David Mitchell, New Year's Eve parties.
728/56/2 11 January 2010, Nicholas Parsons with Paul Merton, Chris Neill, Charles Collingwood and Josie Lawrence, how I know when I'm in love.
729/56/3 18 January 2010, Nicholas Parsons with Tony Hawks, Josie Lawrence, Dave Gorman and Justin Moorhouse, how to spot a mature student.
730/56/4 25 January 2010, Nicholas Parsons with Paul Merton, Gyles Brandreth, Julian Clary and David Mitchell, how to write a love letter.
731/56/5 1 February 2010, Nicholas Parsons with Paul Merton, Chris Neill, Charles Collingwood and Josie Lawrence, how to remember people's names.
732/56/6 8 February 2010, Nicholas Parsons with Paul Merton, Graham Norton, Sue Perkins and Liza Tarbuck, how to pass the time if you are stuck in traffic.
733/56/7 15 February 2010, Nicholas Parsons with Paul Merton, Gyles Brandreth, Jenny Eclair and Pam Ayres, if I were a time traveller.
734/56/8 22 February 2010, Nicholas Parsons with Paul Merton, Tony Hawks, Graham Norton and Sue Perkins, some strange facts about the people in this show.
735/56/9 1 March 2010, Nicholas Parsons with Tony Hawks, Josie Lawrence, Dave Gorman and Justin Moorhouse, the people you find in a student bar.
736/56/10 8 March 2010, Nicholas Parsons with Paul Merton, Graham Norton, Sue Perkins and Liza Tarbuck, what I see in the mirror.
737/56/11 15 March 2010, Nicholas Parsons with Paul Merton, Gyles Brandreth, Jenny Eclair and Pam Ayres, sitting on the throne.
738/56/12 22 March 2010, Nicholas Parsons with Paul Merton, Tony Hawks, Graham Norton and Sue Perkins, how to tell if someone is older than they look.
739/57/1 2 August 2010, Nicholas Parsons with Paul Merton, Graham Norton, Gyles Brandreth and Jenny Eclair, my idea of hell.
740/57/2 9 August 2010, Nicholas Parsons with Paul Merton, Sue Perkins, Liza Tarbuck and John Sergeant, my philosophy.
741/57/3 16 August 2010, Nicholas Parsons with Paul Merton, Tony Hawks, Sheila Hancock and Ross Noble, women in comedy.
742/57/4 23 August 2010, Nicholas Parsons with Paul Merton, Gyles Brandreth, Shappi Khorsandi and John Bishop, funny people.
743/57/5 30 August 2010, Nicholas Parsons with Paul Merton, Jenny Eclair, Fred MacAulay and Stephen K. Amos, the secret of my success.
744/57/6 6 September 2010, Nicholas Parsons with Paul Merton, Sue Perkins, Liza Tarbuck and John Sergeant, how to audition.
745/57/7 13 September 2010, Nicholas Parsons with Paul Merton, Graham Norton, Gyles Brandreth and Jenny Eclair, our American cousins.
746/57/8 20 September 2010, Nicholas Parsons with Paul Merton, Tony Hawks, Sheila Hancock and Ross Noble, a great adventure.
747/58/1 8 November 2010, Nicholas Parsons with Paul Merton, Tony Hawks, Kit Hesketh-Harvey and Alun Cochrane, my first kiss.
748/58/2 15 November 2010, Nicholas Parsons with Paul Merton, Sue Perkins, Julian Clary and Kevin Eldon, taking my driving test.
749/58/3 22 November 2010, Nicholas Parsons with Paul Merton, Tony Hawks, Kit Hesketh-Harvey and Alun Cochrane, my favourite character in Coronation Street.
750/58/4 29 November 2010, Nicholas Parsons with Paul Merton, Sheila Hancock, Gyles Brandreth and Ian McMillan, the British Library.
751/58/5 6 December 2010, Nicholas Parsons with Paul Merton, Sue Perkins, Julian Clary and Kevin Eldon, my relationship with the chairman.
752/58/6 13 December 2010, Nicholas Parsons with Paul Merton, Sheila Hancock, Gyles Brandreth and Ian McMillan, the English language.
753/59/1 7 February 2011, Nicholas Parsons with Paul Merton, Gyles Brandreth, Shappi Khorsandi and Rick Wakeman, dear listener.
754/59/2 14 February 2011, Nicholas Parsons with Paul Merton, Sheila Hancock, Sue Perkins and Marcus Brigstocke, hope over expectations.
755/59/3 21 February 2011, Nicholas Parsons with Paul Merton, Tony Hawks, Ross Noble and Liza Tarbuck, on Valentine's Day I received.
756/59/4 28 February 2011, Nicholas Parsons with Paul Merton, Graham Norton, Julian Clary and Terry Wogan, the history of the world.
757/59/5 7 March 2011, Nicholas Parsons with Paul Merton, Gyles Brandreth, Shappi Khorsandi and Rick Wakeman, musicals.
758/59/6 14 March 2011, Nicholas Parsons with Paul Merton, Sheila Hancock, Sue Perkins and Marcus Brigstocke, how I'd describe myself to an alien.
759/59/7 21 March 2011, Nicholas Parsons with Paul Merton, Tony Hawks, Ross Noble and Liza Tarbuck, Regent's Park.
760/59/8 28 March 2011, Nicholas Parsons with Paul Merton, Graham Norton, Julian Clary and Terry Wogan, national treasures.
761/60/1 16 May 2011, Nicholas Parsons with Paul Merton, Tony Hawks, Gyles Brandreth and Julian Clary, my motto.
762/60/2 23 May 2011, Nicholas Parsons with Paul Merton, Graham Norton, Jenny Eclair and Josie Lawrence, if I were a superhero.
763/60/3 30 May 2011, Nicholas Parsons with Paul Merton, Sue Perkins, Stephen Fry and Fi Glover, marbles.
764/60/4 6 June 2011, Nicholas Parsons with Paul Merton, Tony Hawks, Gyles Brandreth and Julian Clary, the first signs of summer.
765/60/5 13 June 2011, Nicholas Parsons with Paul Merton, Graham Norton, Jenny Eclair and Josie Lawrence, how to make small talk at parties.
766/60/6 20 June 2011, Nicholas Parsons with Paul Merton, Sue Perkins, Stephen Fry and Fi Glover, the best way to greet someone.
767/61/1 8 August 2011, Nicholas Parsons with Paul Merton, Tony Hawks, Sheila Hancock and Graham Norton, my personal assistant.
768/61/2 15 August 2011, Nicholas Parsons with Julian Clary, Josie Lawrence, Phill Jupitus and Rick Wakeman, the first time wearing spectacles.
769/61/3 22 August 2011, Nicholas Parsons with Paul Merton, Gyles Brandreth, Alun Cochrane and Jason Byrne, Scottish air.
770/61/4 29 August 2011, Nicholas Parsons with Paul Merton, Gyles Brandreth, Shappi Khorsandi and Russell Kane, my tartan underwear.
771/61/5 5 September 2011, Nicholas Parsons with Tony Hawks, Gyles Brandreth, Pam Ayres and Miles Jupp, Doctor Johnson.
772/61/6 12 September 2011, Nicholas Parsons with Paul Merton, Tony Hawks, Sheila Hancock and Graham Norton, Shakespeare's globe.
773/61/7 19 September 2011, Nicholas Parsons with Julian Clary, Josie Lawrence, Phill Jupitus and Rick Wakeman, my first day at school.
774/61/8 26 September 2011, Nicholas Parsons with Tony Hawks, Gyles Brandreth, Pam Ayres and Miles Jupp, middle England.
775/62/1 6 February 2012, Nicholas Parsons with Paul Merton, Gyles Brandreth, Jenny Eclair and Ross Noble, when I wear a top hat.
776/62/2 13 February 2012, Nicholas Parsons with Paul Merton, Gyles Brandreth, Jenny Eclair and Ross Noble, self-help books.
777/62/3 20 February 2012, Nicholas Parsons with Paul Merton, Sue Perkins, Julian Clary and Charles Collingwood, what I've got in my attic.
778/62/4 27 February 2012, Nicholas Parsons with Paul Merton, Kit Hesketh-Harvey, Liza Tarbuck and Josie Lawrence, the perfect lie-in.
779/62/5 5 March 2012, Nicholas Parsons with Paul Merton, Sue Perkins, Julian Clary and Charles Collingwood, the contents of Nicholas's wallet.
780/62/6 12 March 2012, Nicholas Parsons with Paul Merton, Kit Hesketh-Harvey, Liza Tarbuck and Josie Lawrence, electronic books.
781/62/7 19 March 2012, Nicholas Parsons with Paul Merton, Marcus Brigstocke, Cyrus Broacha and Anuvab Pal, a cultural exchange.
TV49/4/1 26 March 2012, Nicholas Parsons with Paul Merton, Graham Norton, Sue Perkins and Phill Jupitus, the Bermuda Triangle.
782/62/8 26 March 2012, Nicholas Parsons with Paul Merton, Marcus Brigstocke, Cyrus Broacha and Anuvab Pal, Mumbai traffic.
TV50/4/2 27 March 2012, Nicholas Parsons with Paul Merton, Julian Clary, Stephen Fry and Russell Tovey, tongue twisters.
TV51/4/3 28 March 2012, Nicholas Parsons with Paul Merton, Sue Perkins, Marcus Brigstocke and Ruth Jones, common misconceptions.
TV52/4/4 29 March 2012, Nicholas Parsons with Paul Merton, Gyles Brandreth, Liza Tarbuck and Miles Jupp, double acts.
TV53/4/5 30 March 2012, Nicholas Parsons with Paul Merton, Josie Lawrence, John Sergeant and Jason Manford, once upon a time.
TV54/4/6 2 April 2012, Nicholas Parsons with Paul Merton, Tony Hawks, Graham Norton and Sue Perkins, my 45th birthday.
TV55/4/7 3 April 2012, Nicholas Parsons with Paul Merton, Shappi Khorsandi, Jason Manford and Hugh Bonneville, when I met my hero.
TV56/4/8 4 April 2012, Nicholas Parsons with Paul Merton, Sue Perkins, Marcus Brigstocke and Stephen Mangan, teacher's pet.
TV57/4/9 5 April 2012, Nicholas Parsons with Paul Merton, Tony Hawks, Gyles Brandreth and Liza Tarbuck, pardon my French.
TV58/4/10 6 April 2012, Nicholas Parsons with Paul Merton, Julian Clary, Stephen Fry and Shappi Khorsandi, excuses for being late.
783/63/1 14 May 2012, Nicholas Parsons with Paul Merton, Sue Perkins, Julian Clary and Greg Proops, how I like my coffee.
784/63/2 21 May 2012, Nicholas Parsons with Paul Merton, Graham Norton, Gyles Brandreth and Alun Cochrane, the importance of eyebrows.
785/63/3 28 May 2012, Nicholas Parsons with Paul Merton, Sue Perkins, Julian Clary and Greg Proops, the worst night of my life.
786/63/4 4 June 2012, Nicholas Parsons with Tony Hawks, Jenny Eclair, Richard Herring and Paul Sinha, Yorkshire puddings.
787/63/5 11 June 2012, Nicholas Parsons with Paul Merton, Graham Norton, Gyles Brandreth and Alun Cochrane, things you should never do in public.
788/63/6 18 June 2012, Nicholas Parsons with Tony Hawks, Jenny Eclair, Richard Herring and Paul Sinha, grim up north.
789/64/1 6 August 2012, Nicholas Parsons with Paul Merton, Graham Norton, Sue Perkins and Liza Tarbuck, the biggest fib I've ever told.
790/64/2 13 August 2012, Nicholas Parsons with Paul Merton, Charles Collingwood, Pam Ayres and Miles Jupp, the best thing to do in the back row of the cinema.
791/64/3 20 August 2012, Nicholas Parsons with Paul Merton, Gyles Brandreth, Janey Godley and Hannibal Buress, my favourite pastime in Edinburgh.
792/64/4 27 August 2012, Nicholas Parsons with Paul Merton, Gyles Brandreth, Jason Byrne and Tim Vine, the joys of wearing a kilt.
793/64/5 3 September 2012, Nicholas Parsons with Paul Merton, Graham Norton, Sue Perkins and Liza Tarbuck, things I do when nobody's looking.
794/64/6 10 September 2012, Nicholas Parsons with Tony Hawks, Jenny Eclair, Alun Cochrane and Kevin Eldon, my preparations for Rio 2016.
795/64/7 17 September 2012, Nicholas Parsons with Paul Merton, Charles Collingwood, Pam Ayres and Miles Jupp, three things I have given up lately.
796/64/8 24 September 2012, Nicholas Parsons with Tony Hawks, Jenny Eclair, Alun Cochrane and Kevin Eldon, spotting a fake.
797/65/1 11 February 2013, Nicholas Parsons with Paul Merton, Graham Norton, Sue Perkins and Jason Manford, funny valentine.
798/65/2 18 February 2013, Nicholas Parsons with Paul Merton, Gyles Brandreth, Alun Cochrane and Stephen Mangan, Treasure Island.
799/65/3 25 February 2013, Nicholas Parsons with Paul Merton, Julian Clary, Jenny Eclair and Richard Herring, Marble Arch.
800/65/4 4 March 2013, Nicholas Parsons with Paul Merton, Sheila Hancock, Marcus Brigstocke and Josie Lawrence, spring cleaning.
801/65/5 11 March 2013, Nicholas Parsons with Paul Merton, Gyles Brandreth, Alun Cochrane and Stephen Mangan, the mother-in-law.
802/65/6 18 March 2013, Nicholas Parsons with Paul Merton, Julian Clary, Jenny Eclair and Richard Herring, my family tree.
803/65/7 25 March 2013, Nicholas Parsons with Paul Merton, Sheila Hancock, Marcus Brigstocke and Josie Lawrence, escaping from an awful party.
804/65/8 1 April 2013, Nicholas Parsons with Paul Merton, Graham Norton, Sue Perkins and Jason Manford, Paris in spring.
805/66/1 20 May 2013, Nicholas Parsons with Paul Merton, Graham Norton, Pam Ayres and Kevin Eldon, the 11 plus.
806/66/2 27 May 2013, Nicholas Parsons with Tony Hawks, Gyles Brandreth, Fred MacAulay and Roy Walker, the city of culture.
807/66/3 3 June 2013, Nicholas Parsons with Paul Merton, Gyles Brandreth, Richard Herring and Russell Kane, fast food.
808/66/4 10 June 2013, Nicholas Parsons with Paul Merton, Graham Norton, Pam Ayres and Kevin Eldon, the leader of the pack.
809/66/5 17 June 2013, Nicholas Parsons with Tony Hawks, Gyles Brandreth, Fred MacAulay and Roy Walker, the one that got away.
810/66/6 24 June 2013, Nicholas Parsons with Paul Merton, Gyles Brandreth, Richard Herring and Russell Kane, back seat drivers.
811/67/1 12 August 2013, Nicholas Parsons with Tony Hawks, Gyles Brandreth, Alun Cochrane and Patrick Kielty, moving house.
812/67/2 19 August 2013, Nicholas Parsons with Paul Merton, Sue Perkins, Greg Proops and Joe Lycett, porridge.
813/67/3 26 August 2013, Nicholas Parsons with Paul Merton, Sue Perkins, Russell Kane and Henry Blofeld, Burke and Hare.
814/67/4 2 September 2013, Nicholas Parsons with Paul Merton, Julian Clary, Jenny Eclair and Liza Tarbuck, nicknames.
815/67/5 9 September 2013, Nicholas Parsons with Tony Hawks, Gyles Brandreth, Alun Cochrane and Patrick Kielty, the food of the gods.
816/67/6 16 September 2013, Nicholas Parsons with Paul Merton, Gyles Brandreth, Pam Ayres and Stephen Mangan, a case of mistaken identity.
817/67/7 23 September 2013, Nicholas Parsons with Paul Merton, Julian Clary, Jenny Eclair and Liza Tarbuck, a night in.
JJAM1/1/1 11 November 2013, Nicholas Parsons with Jenny Eclair, Josie Lawrence, Kitty Fry and Zrey Sholapurkar, school uniforms.
JJAM2/1/2 12 November 2013, Nicholas Parsons with Jenny Eclair, Josie Lawrence, Rosa Calcraft and William Tyrell, the language I would most like to speak.
JJAM3/1/3 13 November 2013, Nicholas Parsons with Jenny Eclair, Josie Lawrence, Jonah Calkin and Francesca Daly, if I were Harry Potter.
JJAM4/1/4 14 November 2013, Nicholas Parsons with Jenny Eclair, Josie Lawrence, Sophie Shanahan and Leonardo Shaw, party games.
JJAM5/1/5 15 November 2013, Nicholas Parsons with Jenny Eclair, Josie Lawrence, Roberta Bannister and Will Pearce, the contents of my pencil case.
818/67/8 23 December 2013, Nicholas Parsons with Paul Merton, Gyles Brandreth, Pam Ayres and Stephen Mangan, building a snowman.
